"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","x25sl_star","ui_star","str_star","elg_star","rd_star","b_star","mic_star"
88,12,"PLA",16,"Altus, OK(irri)",748,2,122,1.17,0.57,48.7,198,9.5,3.9,1.17,47.7,21.1,6.3,79.7,7.3,4
88,12,"PLA",38,"Chickasha, OK(dry)",400,1,108,1.02,0.52,51,189,6.5,5,1.01,46.2,23.9,6.3,72.5,7.9,5.4
88,12,"PLA",38,"Chickasha, OK(dry)",400,2,103,1.07,0.53,49.5,195,6.8,4.5,1.02,43.7,20.9,5.7,66.9,8.8,5
88,12,"PLA",38,"Chickasha, OK(dry)",409,1,117,1.02,0.52,51,220,6.3,4.5,0.98,46.7,21.8,5.9,74.2,7.7,4.9
88,12,"PLA",38,"Chickasha, OK(dry)",409,2,129,1.07,0.54,50.5,231,7,4.8,1.01,46,21.5,5.8,72.1,8.2,4.6
88,12,"PLA",38,"Chickasha, OK(dry)",477,1,157,1.14,0.6,52.6,297,7,4.5,1.16,51.9,26.6,6.4,75.6,6.9,4.7
88,12,"PLA",38,"Chickasha, OK(dry)",477,2,152,1.16,0.61,52.6,292,7,4.7,1.17,50.8,27.2,6.4,77.3,7.7,4.7
88,12,"PLA",38,"Chickasha, OK(dry)",571,1,101,1,0.51,51,190,7.8,4.6,0.99,42.1,19.6,5.8,75.3,8.2,4.7
88,12,"PLA",38,"Chickasha, OK(dry)",571,2,112,1.06,0.53,50,192,7.8,4.3,1.04,46.1,21.3,6.1,74.1,8.4,4.4
88,12,"PLA",38,"Chickasha, OK(dry)",576,1,102,1.02,0.52,51,203,7.8,4.6,1.03,44.5,21.4,6.1,72.5,8.8,5.2
88,12,"PLA",38,"Chickasha, OK(dry)",576,2,112,1.05,0.53,50.5,201,7.3,4.6,1.04,45.1,21.8,6.3,63.7,9.1,5
88,12,"PLA",38,"Chickasha, OK(dry)",577,1,111,1.06,0.54,50.9,189,7.5,4.4,1.02,46.3,19.3,5.9,71.9,7.5,5.1
88,12,"PLA",38,"Chickasha, OK(dry)",577,2,110,1.08,0.56,51.9,189,6.8,4,1.03,43.1,20,6.1,70.5,7.9,4.3
88,12,"PLA",38,"Chickasha, OK(dry)",578,1,126,1.03,0.53,51.5,238,8.3,4.8,0.99,49.1,27.1,7.1,74.1,7.8,5
88,12,"PLA",38,"Chickasha, OK(dry)",578,2,114,1.01,0.54,53.5,228,7.5,4.6,0.99,47.4,26.1,7.2,71.9,6.9,5.4
88,12,"PLA",38,"Chickasha, OK(dry)",635,1,111,1,0.53,53,225,7.8,5.3,0.99,46.4,21.1,5.8,70.2,9.1,5.3
88,12,"PLA",38,"Chickasha, OK(dry)",635,2,112,1.01,0.51,50.5,211,6.5,5,0.97,46.6,21,5.8,73.1,7.9,5.4
88,12,"PLA",38,"Chickasha, OK(dry)",689,1,108,1.07,0.55,51.4,206,7.5,5.1,1.07,44.7,21.5,6.3,73.1,8,5.2
88,12,"PLA",38,"Chickasha, OK(dry)",689,2,107,1.11,0.54,48.6,207,8,4.9,1.05,45.6,22.4,6.6,75.1,7.3,5.2
88,12,"PLA",38,"Chickasha, OK(dry)",693,1,110,1.02,0.54,52.9,232,6.5,5.4,0.99,46.9,23.5,6.1,72.8,8.3,5.6
88,12,"PLA",38,"Chickasha, OK(dry)",693,2,126,1.03,0.53,51.5,260,6.5,5.2,1.02,46.8,26.4,6.7,76.2,8.2,5.2
88,12,"PLA",38,"Chickasha, OK(dry)",748,1,126,1.13,0.59,52.2,223,6.8,5,1.08,45.6,21.5,5.8,72.9,7.5,5.3
88,12,"PLA",38,"Chickasha, OK(dry)",748,2,124,1.11,0.54,48.6,209,7,4.9,1.05,45,21.1,5.8,70.3,7.6,4.9
88,20,"EAS",30,"Jackson, TN",450,1,124,1.17,0.58,49.6,191,6.3,4.3,1.18,48.8,22.9,6.5,75.9,9.5,4.3
88,20,"EAS",30,"Jackson, TN",450,2,116,1.16,0.57,49.1,198,6.5,4.5,1.19,47.3,21.9,6.4,74.3,9.7,3.8
88,20,"EAS",30,"Jackson, TN",473,1,99,1.19,0.6,50.4,166,8.8,3.6,1.16,46.5,19.9,7.2,72.3,11.1,3.7
88,20,"EAS",30,"Jackson, TN",473,2,104,1.17,0.58,49.6,176,8.3,4.1,1.15,47.5,18.8,7,75.6,10,3.9
88,20,"EAS",30,"Jackson, TN",477,1,132,1.22,0.61,50,240,6.3,3.8,1.16,46.7,25.1,6.5,76.7,8.8,3.7
