"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"34","66",0,12,"PLA",38,"Chickasha, OK(dry)",1133,"pm 330",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1133,"pm 330",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1133,"pm 330",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1133,"pm 330",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","67",0,12,"PLA",38,"Chickasha, OK(dry)",1134,"pm 2154rr",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","68",0,12,"PLA",38,"Chickasha, OK(dry)",1134,"pm 2154rr",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1134,"pm 2154rr",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1134,"pm 2154rr",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1134,"pm 2154rr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","69",0,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","70",0,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","71",0,12,"PLA",38,"Chickasha, OK(dry)",1136,"pm tejas",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","72",0,12,"PLA",38,"Chickasha, OK(dry)",1136,"pm tejas",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1136,"pm tejas",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1136,"pm tejas",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1136,"pm tejas",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","79",0,12,"PLA",41,NA,773,"acala maxxa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","80",0,12,"PLA",41,"Chickasha, OK(irri)",773,"acala maxxa",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",41,"Chickasha, OK(irri)",773,"acala maxxa",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",41,"Chickasha, OK(irri)",773,"acala maxxa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",41,"Chickasha, OK(irri)",773,"acala maxxa",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","99",0,12,"PLA",41,"Chickasha, OK(irri)",906,"southland 400",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","100",0,12,"PLA",41,"Chickasha, OK(irri)",906,"southland 400",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",41,"Chickasha, OK(irri)",906,"southland 400",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
