"breeder","sample","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x21","x50sl","yt"
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1196,"stv 4892br",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1196,"stv 4892br",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1196,"stv 4892br",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","61",3,12,"PLA",38,"Chickasha, OK(dry)",1212,"all tex atlas rr",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","62",3,12,"PLA",38,"Chickasha, OK(dry)",1212,"all tex atlas rr",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1212,"all tex atlas rr",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1212,"all tex atlas rr",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1212,"all tex atlas rr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","65",3,12,"PLA",38,"Chickasha, OK(dry)",1213,"fm 5013",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","66",3,12,"PLA",38,"Chickasha, OK(dry)",1213,"fm 5013",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1213,"fm 5013",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1213,"fm 5013",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1213,"fm 5013",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","67",3,12,"PLA",38,"Chickasha, OK(dry)",1214,"pm 2167rr",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","68",3,12,"PLA",38,"Chickasha, OK(dry)",1214,"pm 2167rr",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1214,"pm 2167rr",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1214,"pm 2167rr",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1214,"pm 2167rr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","69",3,12,"PLA",38,"Chickasha, OK(dry)",1215,"pm 2266rr",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","70",3,12,"PLA",38,"Chickasha, OK(dry)",1215,"pm 2266rr",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1215,"pm 2266rr",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1215,"pm 2266rr",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1215,"pm 2266rr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","73",3,12,"PLA",38,"Chickasha, OK(dry)",1216,"stv 2454rr",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","74",3,12,"PLA",38,"Chickasha, OK(dry)",1216,"stv 2454rr",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1216,"stv 2454rr",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1216,"stv 2454rr",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1216,"stv 2454rr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","77",3,12,"PLA",38,"Chickasha, OK(dry)",1217,"tamcot kuxor",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","78",3,12,"PLA",38,"Chickasha, OK(dry)",1217,"tamcot kuxor",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1217,"tamcot kuxor",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1217,"tamcot kuxor",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1217,"tamcot kuxor",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","101",3,12,"PLA",41,"Chickasha, OK(irri)",971,"stv 474",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","102",3,12,"PLA",41,"Chickasha, OK(irri)",971,"stv 474",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",41,"Chickasha, OK(irri)",971,"stv 474",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",41,"Chickasha, OK(irri)",971,"stv 474",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",41,"Chickasha, OK(irri)",971,"stv 474",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","81",3,12,"PLA",41,"Chickasha, OK(irri)",1019,"all tex atlas",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","82",3,12,"PLA",41,"Chickasha, OK(irri)",1019,"all tex atlas",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
