"sample","test","regcode","location","loccode","varcode","rep","mic","uhm","ui","str","elo","rd","b","cgrd","area_percent","sfc_percent","trash_cnt","leaf_code","maturity"
"26044","CENTRAL","030","C CHRISTI-D","195","1536","2",4.51,1.2,86.4,39.95,6.58468468468469,74.95,9.25,"31-3",1.41,5.7,72,7.5,0.86
"26045","CENTRAL","030","C CHRISTI-D","195","1537","1",5.15,1.16,84.7,34.9,8.13738738738739,75.5,8.65,"31-2",1.42,6.8,66,6.5,0.87
"26046","CENTRAL","030","C CHRISTI-D","195","1537","2",5.11,1.18,85.5,33.85,8.30990990990991,76,9,"31-3",0.75,6.8,53,4.5,0.87
"26051","CENTRAL","030","C CHRISTI-D","195","1551","1",4.96,1.2,87,31.5,7.96486486486487,74.8,9.35,"31-3",0.94,6.3,65,6,0.86
"26052","CENTRAL","030","C CHRISTI-D","195","1551","2",4.81,1.18,85.7,31.5,7.96486486486487,76.55,9.35,"21-4",0.68,6.5,48,4.5,0.86
"26053","CENTRAL","030","C CHRISTI-D","195","1552","1",5.31,1.19,85.1,35.1,6.06711711711712,75.75,8.3,"31-2",1.03,6.7,55,6,0.88
"26054","CENTRAL","030","C CHRISTI-D","195","1552","2",5.71,1.18,85.5,32.35,6.41216216216216,76,8.3,"31-2",0.83,6.5,53,5,0.89
"80001","DELTA","040","ST. JOE","024","1404","1",5.33,1.2,88.5,38.6,8.48243243243243,70.75,7.1,"51-1",1.18,5.8,75,6,0.88
"80002","DELTA","040","ST. JOE","024","1404","2",5.3,1.17,86.7,38.5,8.13738738738739,72.45,7.1,"41-2",0.74,6.5,60,5,0.87
"80003","DELTA","040","ST. JOE","024","1516","1",4.9,1.32,86.2,33,7.61981981981982,74.25,6.7,"41-2",0.76,5.5,71,5,0.86
"80004","DELTA","040","ST. JOE","024","1516","2",4.78,1.33,86.3,34.55,7.96486486486487,74.8,6.55,"41-2",0.51,5.4,39,3.5,0.86
"80005","DELTA","040","ST. JOE","024","1535","1",4.97,1.25,86.8,36.3,4.85945945945946,73.2,7.85,"41-2",0.35,6.3,41,2.5,0.88
"80006","DELTA","040","ST. JOE","024","1535","2",4.91,1.23,85.5,38.25,4.85945945945946,73.8,7.4,"41-2",0.34,6.5,34,3,0.88
"80007","DELTA","040","ST. JOE","024","1536","1",4.6,1.26,87.9,41.15,6.41216216216216,69.4,7.15,"51-1",1.28,6,83,7,0.87
"80008","DELTA","040","ST. JOE","024","1536","2",4.67,1.26,86.3,41.65,6.41216216216216,71.7,6.95,"51-1",0.67,6.7,44,5,0.87
"80019","DELTA","040","ST. JOE","024","1569","1",4.56,1.26,88,34.65,8.30990990990991,74.55,7.95,"41-1",0.32,6.1,25,2.5,0.86
"80020","DELTA","040","ST. JOE","024","1569","2",4.75,1.22,86.5,36.4,8.30990990990991,74.5,8,"41-1",0.36,6.2,29,3,0.86
"80013","DELTA","040","ST. JOE","024","1578","1",5.2,1.22,85.8,37.05,6.58468468468469,77.35,6.95,"41-1",0.38,6.3,34,2.5,0.88
"80014","DELTA","040","ST. JOE","024","1578","2",5.21,1.24,85.7,36.3,6.58468468468469,75.45,6.9,"41-2",0.76,6.3,45,5.5,0.88
"80011","DELTA","040","ST. JOE","024","1590","1",4.73,1.25,86.6,31.8,5.8945945945946,74.75,7.75,"41-1",0.48,6.8,27,4,0.87
"80012","DELTA","040","ST. JOE","024","1590","2",4.83,1.23,83.2,33.95,6.06711711711712,74.35,7.85,"41-1",0.27,7.8,27,2.5,0.87
"80009","DELTA","040","ST. JOE","024","1591","1",4.81,1.29,86.1,33.1,7.10225225225225,72.85,6.75,"51-1",0.28,6.1,35,2.5,0.86
"80010","DELTA","040","ST. JOE","024","1591","2",5.01,1.32,87.3,31.3,7.61981981981982,73.7,6.85,"41-2",0.13,5.5,15,1,0.87
"80015","DELTA","040","ST. JOE","024","1592","1",3.96,1.3,87.7,36,7.79234234234234,74.1,7,"41-2",1.53,5.6,59,7,0.84
"80016","DELTA","040","ST. JOE","024","1592","2",4.1,1.32,87.4,34.7,7.79234234234234,74.65,6.9,"41-2",0.91,5.4,50,6,0.85
