"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mpt","rd_mot","b_mot","mic_mot"
"85",20,"EAS",30,"Jackson, TN","575",2,133,1.16,0.53,46,18.9,5.3,5.1,1.16,83,28,78,8.8,4.7
"85",20,"EAS",30,"Jackson, TN","593",1,164,1.21,0.58,47,22.2,5.2,4.6,1.22,83,31,73,9.2,4.3
"85",20,"EAS",30,"Jackson, TN","593",2,158,1.22,0.6,49,21.6,5.4,4.2,1.24,82,30,77.5,9,4.2
"85",20,"EAS",30,"Jackson, TN","603",1,153,1.19,0.58,48,22.2,6.4,4.2,1.22,82,29,79.5,9,4.3
"85",20,"EAS",30,"Jackson, TN","603",2,134,1.15,0.54,47,20.2,5.8,4.5,1.17,82,26,81.5,9,4.4
"85",20,"EAS",30,"Jackson, TN","611",1,151,1.24,0.58,47,21.7,5.7,4.3,1.24,82,31,77.5,8.4,4.4
"85",20,"EAS",30,"Jackson, TN","611",2,154,1.22,0.58,48,20.4,5.9,4.2,1.24,83,29,78,9,4
"85",20,"EAS",30,"Jackson, TN","635",1,134,1.09,0.52,47,19.5,5.5,5,1.1,83,26,76,8,4.6
"85",20,"EAS",30,"Jackson, TN","635",2,138,1.08,0.52,48,19.7,5.7,4.3,1.13,84,25,75.5,8.4,4
"85",20,"EAS",30,"Jackson, TN","638",1,134,1.18,0.59,50,20,6.5,4.7,1.18,83,27,77.5,9,4.6
"85",20,"EAS",30,"Jackson, TN","638",2,137,1.17,0.55,47,19.6,6.2,4.2,1.22,84,25,76,9.2,4.4
"85",20,"EAS",30,"Jackson, TN","649",1,160,1.21,0.61,50,23.8,6.3,4.6,1.23,84,32,72,8.6,4.6
"85",20,"EAS",30,"Jackson, TN","649",2,156,1.18,0.58,49,21.3,6,4.5,1.17,82,30,78.5,9,4.3
"85",20,"EAS",30,"Jackson, TN","679",1,168,1.17,0.58,49,23.8,5.9,4.2,1.17,84,31,74,8.4,4.5
"85",20,"EAS",30,"Jackson, TN","679",2,167,1.18,0.58,49,24.4,6.1,4.2,1.18,85,31,75.5,8,4.3
"85",20,"EAS",30,"Jackson, TN","681",1,137,1.12,0.53,47,20,5.4,3.7,1.16,83,29,79,8.6,4.6
"85",20,"EAS",30,"Jackson, TN","681",2,133,1.13,0.54,47,19.5,5.4,4.5,1.16,83,28,79,8.8,4.6
