"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"61-008","18","EAST","020","ROCKY MT","037","PHY 764WRF*","1536","2","""",4.23,0.85,1.14,85.1,7.5,35.35,8,80.55,7.95,"3.7758211987809069",66.55630370298
"61-009","18","EAST","020","ROCKY MT","037","PHY 430W3FE","1574","1","REGL STD",5.04,0.87,1.09,85.3,7.4,32.85,8.5,76.45,9.15,NA,NA
"61-010","18","EAST","020","ROCKY MT","037","PHY 430W3FE","1574","2","""",4.96,0.86,1.04,83.6,8.7,30.45,8.6,80.55,8.75,NA,NA
"61-013","18","EAST","020","ROCKY MT","037","DP 1840B3XF","1575","1","""",4.96,0.87,1.18,83.7,8.1,32.05,8.3,80.5,8.95,NA,NA
"61-014","18","EAST","020","ROCKY MT","037","DP 1840B3XF","1575","2","""",4.94,0.87,1.17,84.6,7.5,32.15,8.1,81.15,7.8,NA,NA
"61-015","18","EAST","020","ROCKY MT","037","NG 5007B2XF","1576","1","""",5.1,0.87,1.13,83.9,7.8,28.5,8.6,81.25,8.25,NA,NA
"61-016","18","EAST","020","ROCKY MT","037","NG 5007B2XF","1576","2","""",4.92,0.86,1.12,84,8.7,28.5,8.5,80.5,8.2,NA,NA
"61-017","18","EAST","020","ROCKY MT","037","NG 3522B2XF","1577","1","""",4.92,0.87,1.17,85.6,7,31.1,8,81.05,8.9,NA,NA
"61-018","18","EAST","020","ROCKY MT","037","NG 3522B2XF","1577","2","""",5.18,0.87,1.07,82.8,9.6,26.1,7.8,81.35,8.5,NA,NA
"61-019","18","EAST","020","ROCKY MT","037","ST 5471GLTP","1578","1","""",4.82,0.86,1.17,84.4,7.2,31.8,8.1,81.8,7.9,NA,NA
"61-020","18","EAST","020","ROCKY MT","037","ST 5471GLTP","1578","2","""",4.81,0.86,1.14,82.5,8.3,32.4,7.9,80.4,7.95,NA,NA
"12-001","18","EAST","020","STARKVILLE","067","PHY 499WRF*","1404","1","NATL STD",4.32,0.85,1.13,82.4,9.1,28.65,8.5,69.35,7.1,NA,NA
"12-002","18","EAST","020","STARKVILLE","067","PHY 499WRF*","1404","2","""",3.69,0.83,1.13,83.5,8.8,27.65,8.7,68.85,6.45,NA,NA
"12-011","18","EAST","020","STARKVILLE","067","DP 1538B2XF","1510","1","""",5.06,0.86,1.08,84.1,8.1,26.1,8.4,73.1,6.05,NA,NA
"12-012","18","EAST","020","STARKVILLE","067","DP 1538B2XF","1510","2","""",4.69,0.86,1.1,83.2,8.1,27.7,8.4,71.7,5.75,NA,NA
"12-003","18","EAST","020","STARKVILLE","067","DP 1646B2XF*","1516","1","""",4.5,0.85,1.18,83,9.2,27.1,8.4,72.1,5.55,NA,NA
"12-004","18","EAST","020","STARKVILLE","067","DP 1646B2XF*","1516","2","""",4.21,0.85,1.23,82.5,8.8,28.1,8.3,68.55,5.65,NA,NA
"12-005","18","EAST","020","STARKVILLE","067","NG 4545B2XF*","1535","1","""",4.8,0.87,1.09,82.6,8.9,27.75,7.2,68.4,7.1,NA,NA
"12-006","18","EAST","020","STARKVILLE","067","NG 4545B2XF*","1535","2","""",4.15,0.85,1.15,83.1,8.8,28.2,6.9,68.9,6.8,NA,NA
"12-007","18","EAST","020","STARKVILLE","067","PHY 764WRF*","1536","1","""",3.85,0.84,1.17,84,8.3,33.4,7.8,71.1,6.7,NA,NA
"12-008","18","EAST","020","STARKVILLE","067","PHY 764WRF*","1536","2","""",4.17,0.85,1.15,83.9,7.5,31.85,7.9,74.05,6.45,NA,NA
"12-009","18","EAST","020","STARKVILLE","067","PHY 430W3FE","1574","1","REGL STD",4.05,0.84,1.13,82.6,8.6,28.85,8.2,70.4,7.8,NA,NA
"12-010","18","EAST","020","STARKVILLE","067","PHY 430W3FE","1574","2","""",4.37,0.85,1.09,82.8,9.2,27.4,8.4,68.35,7.15,NA,NA
"12-013","18","EAST","020","STARKVILLE","067","DP 1840B3XF","1575","1","""",4.63,0.86,1.18,83.8,8.1,28.25,8.1,72.45,5.9,NA,NA
"12-014","18","EAST","020","STARKVILLE","067","DP 1840B3XF","1575","2","""",4.49,0.85,1.14,82.9,9,27.65,8,72.7,5.45,NA,NA
"12-015","18","EAST","020","STARKVILLE","067","NG 5007B2XF","1576","1","""",4.53,0.85,1.18,83.7,8,26.85,8.2,71.5,6.2,NA,NA
"12-016","18","EAST","020","STARKVILLE","067","NG 5007B2XF","1576","2","""",4.51,0.85,1.11,82.3,9.7,26.65,7.9,71.15,5.85,NA,NA
"12-017","18","EAST","020","STARKVILLE","067","NG 3522B2XF","1577","1","""",4.44,0.85,1.06,82.2,9.5,24.55,7.8,70.55,6.7,NA,NA
"12-018","18","EAST","020","STARKVILLE","067","NG 3522B2XF","1577","2","""",4.48,0.85,1.05,80.2,12.2,23.45,7.7,71.75,6.65,NA,NA
