"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"26-092","18","HIGH QUAL","071","COLL STA","019","NM 16W1079","1564","2","""",4.04,0.85,1.19,84.6,7.1,35.25,7.5,59.8,6,"15.232343566515683",83.5160860465116
"26-093","18","HIGH QUAL","071","COLL STA","019","NM 16W1094","1565","1","""",4.13,0.84,1.16,81.5,9.5,31.55,8.6,64.6,5.55,"17.900495811249783",71.1829658584859
"26-094","18","HIGH QUAL","071","COLL STA","019","NM 16W1094","1565","2","""",4.14,0.85,1.19,82.9,7.7,36.35,7.6,62.3,5.8,"14.005744213549583",65.2263919238674
"26-095","18","HIGH QUAL","071","COLL STA","019","TAM 13Q-18","1566","1","""",4.14,0.85,1.19,81.9,8.5,31.55,7.8,63.95,5.95,"16.526986255447536",56.2195363098848
"26-096","18","HIGH QUAL","071","COLL STA","019","TAM 13Q-18","1566","2","""",4.19,0.85,1.18,82.6,8.3,29.35,8,63.05,6.05,"14.464769647696476",61.5167701758341
"26-097","18","HIGH QUAL","071","COLL STA","019","TAM KJ-Q14","1567","1","""",3.82,0.85,1.34,85.3,5.2,39.9,7.3,65,6.55,"13.104602510460248",66.579782023983
"26-098","18","HIGH QUAL","071","COLL STA","019","TAM KJ-Q14","1567","2","""",4.25,0.86,1.32,83.8,6.4,38.9,7.3,62.85,5.8,"15.09433962264151",71.2184853153949
"26-101","18","HIGH QUAL","071","COLL STA","019","PHY 440W3FE","1568","1","""",4.33,0.85,1.2,81.8,8.1,29,7.8,64.75,5.35,"13.623286512100194",58.036548128811
"26-102","18","HIGH QUAL","071","COLL STA","019","PHY 440W3FE","1568","2","""",4.3,0.86,1.17,81.7,8.8,28.85,7.3,63.45,5.6,"14.326695916301038",54.6479452604798
"26-103","18","HIGH QUAL","071","COLL STA","019","PHY 480W3FE","1569","1","""",4.36,0.85,1.11,80.3,11.1,27.4,7.8,61.9,5.5,NA,63.0913810049486
"26-104","18","HIGH QUAL","071","COLL STA","019","PHY 480W3FE","1569","2","""",4.45,0.86,1.13,82,8.7,29.5,7.7,65.75,5.6,"10.17721518987342",62.1808535262206
"26-105","18","HIGH QUAL","071","COLL STA","019","DC 180","1570","1","""",4.79,0.87,1.2,84.1,6.8,34.75,7.5,64.45,5.85,"11.235194585448394",59.3732951699463
"26-106","18","HIGH QUAL","071","COLL STA","019","DC 180","1570","2","""",5.01,0.87,1.17,84.2,6.9,30.5,7.8,61,6.15,"15.975630394313766",66.092479708698
"26-107","18","HIGH QUAL","071","COLL STA","019","DC 375","1571","1","""",4.78,0.86,1.13,82.5,8.5,28.3,7.9,63.5,7,"11.802502536354421",68.4833688647763
"26-108","18","HIGH QUAL","071","COLL STA","019","DC 375","1571","2","""",4.64,0.86,1.13,82.2,8.5,27.35,7.8,63.7,6,"13.005242685607991",63.0172411396803
"26-109","18","HIGH QUAL","071","COLL STA","019","LA 14063001","1572","1","""",4.1,0.85,1.23,83.8,8.9,29.75,8,64.4,5.75,"11.900771035869921",55.5096513606097
"26-110","18","HIGH QUAL","071","COLL STA","019","LA 14063001","1572","2","""",4.29,0.86,1.25,83,7.9,32,7.6,65.45,5.8,"13.351179521499084",56.9807630979499
"26-111","18","HIGH QUAL","071","COLL STA","019","LA 14603038","1573","1","""",4.4,0.86,1.21,82.3,8.3,31.05,7.6,66.05,5.85,"9.2988313856427389",69.2374507346181
"26-112","18","HIGH QUAL","071","COLL STA","019","LA 14603038","1573","2","""",4.24,0.86,1.26,81.6,8.9,33.45,7.3,63.55,6.35,"10.964399130870794",71.5720604475332
"80-051","18","HIGH QUAL","071","ST. JOE","024","PHY 444WRF","1459","1","""",4.39,0.86,1.26,84.9,7.8,31.7,7.2,75.3,6.4,NA,NA
"80-052","18","HIGH QUAL","071","ST. JOE","024","PHY 444WRF","1459","2","""",4.56,0.86,1.28,87.3,6.1,32.95,7.4,74.65,5.35,NA,NA
"80-025","18","HIGH QUAL","071","ST. JOE","024","FM 1830GLT","1503","1","REGL STD",4.81,0.87,1.2,83.7,7.7,32.4,7,73.25,5.65,NA,NA
"80-026","18","HIGH QUAL","071","ST. JOE","024","FM 1830GLT","1503","2","""",4.68,0.87,1.26,85.8,6.8,31.85,7,73.05,5.7,NA,NA
"80-021","18","HIGH QUAL","071","ST. JOE","024","DP 1646B2XF*","1516","1","NATL STD",4.89,0.86,1.2,82.9,8.4,30.6,8.4,73.85,4.55,NA,NA
"80-022","18","HIGH QUAL","071","ST. JOE","024","DP 1646B2XF*","1516","2","""",4.53,0.86,1.28,84.2,7.3,30.7,8.1,71.15,4.05,NA,NA
"80-023","18","HIGH QUAL","071","ST. JOE","024","PHY 764WRF*","1536","1","""",4.19,0.85,1.16,83.6,7.7,36,7.7,72.15,6.1,NA,NA
"80-024","18","HIGH QUAL","071","ST. JOE","024","PHY 764WRF*","1536","2","""",4.27,0.86,1.22,84.8,7.1,35.45,7.6,67.15,4.55,NA,NA
"80-027","18","HIGH QUAL","071","ST. JOE","024","FM 2574GLT","1556","1","""",5.03,0.88,1.23,85.1,7,33.25,6.8,73.9,6,NA,NA
"80-028","18","HIGH QUAL","071","ST. JOE","024","FM 2574GLT","1556","2","""",4.54,0.86,1.29,86.8,6.2,33.85,7.3,77.15,6.05,NA,NA
"80-029","18","HIGH QUAL","071","ST. JOE","024","ST 5020GLT","1557","1","""",5.13,0.87,1.22,84.7,7.2,32.8,8,68.25,5.75,NA,NA
"80-030","18","HIGH QUAL","071","ST. JOE","024","ST 5020GLT","1557","2","""",4.88,0.87,1.25,85.6,7,31.6,7.7,72.2,6.35,NA,NA
"80-031","18","HIGH QUAL","071","ST. JOE","024","DP 1845B3XF","1558","1","""",4.61,0.86,1.25,85.7,7.5,32.75,8.4,71.55,5.7,NA,NA
"80-032","18","HIGH QUAL","071","ST. JOE","024","DP 1845B3XF","1558","2","""",4.43,0.85,1.29,84.9,6.4,33.35,8.2,72.6,4.7,NA,NA
"80-033","18","HIGH QUAL","071","ST. JOE","024","DP 1820B3XF","1559","1","""",4.99,0.88,1.23,83.9,7.4,32.65,6.9,67.75,5.05,NA,NA
"80-034","18","HIGH QUAL","071","ST. JOE","024","DP 1820B3XF","1559","2","""",4.78,0.87,1.3,85.3,6.1,31.4,6.9,71.7,6.15,NA,NA
"80-035","18","HIGH QUAL","071","ST. JOE","024","ARK 1019-14","1560","1","""",4.62,0.86,1.25,84,7.9,30.65,7.8,73.5,4.75,NA,NA
"80-036","18","HIGH QUAL","071","ST. JOE","024","ARK 1019-14","1560","2","""",4.47,0.86,1.31,85.1,5.8,30.35,7.9,74.1,4.6,NA,NA
"80-037","18","HIGH QUAL","071","ST. JOE","024","ARK 1002-40","1561","1","""",4.83,0.87,1.27,87.5,6.5,35.4,7.3,71.25,5.2,NA,NA
"80-038","18","HIGH QUAL","071","ST. JOE","024","ARK 1002-40","1561","2","""",4.82,0.87,1.31,87.9,5.5,34.45,7.3,73.8,6.15,NA,NA
"80-039","18","HIGH QUAL","071","ST. JOE","024","ARK 1019-36","1562","1","""",4.76,0.86,1.26,85.9,6.9,32.45,7.7,72.8,4.65,NA,NA
"80-040","18","HIGH QUAL","071","ST. JOE","024","ARK 1019-36","1562","2","""",4.5,0.86,1.35,85.7,5.2,31.15,7.6,73.25,5.1,NA,NA
"80-041","18","HIGH QUAL","071","ST. JOE","024","NM 13P1125","1563","1","""",4.83,0.86,1.21,86.5,6.6,32.75,8.3,73,5,NA,NA
"80-042","18","HIGH QUAL","071","ST. JOE","024","NM 13P1125","1563","2","""",4.68,0.86,1.19,85.3,6.9,32.25,8.1,67.95,6.15,NA,NA
"80-043","18","HIGH QUAL","071","ST. JOE","024","NM 16W1079","1564","1","""",4.78,0.87,1.19,86.7,6.8,34.75,7.6,70.8,6.8,NA,NA
"80-044","18","HIGH QUAL","071","ST. JOE","024","NM 16W1079","1564","2","""",4.73,0.86,1.18,85.1,6.9,32.6,7.9,70.6,4.85,NA,NA
"80-045","18","HIGH QUAL","071","ST. JOE","024","NM 16W1094","1565","1","""",4.83,0.86,1.13,85.2,7.4,32.2,8.3,70.25,5.5,NA,NA
"80-046","18","HIGH QUAL","071","ST. JOE","024","NM 16W1094","1565","2","""",4.57,0.86,1.18,86.6,6.5,34.65,7.6,75.1,7.25,NA,NA
"80-047","18","HIGH QUAL","071","ST. JOE","024","TAM 13Q-18","1566","1","""",4.77,0.87,1.27,86.4,6.4,32.6,7.8,73.3,6.8,NA,NA
"80-048","18","HIGH QUAL","071","ST. JOE","024","TAM 13Q-18","1566","2","""",4.52,0.86,1.19,85.2,7.3,32.75,7.9,75.65,6.15,NA,NA
"80-049","18","HIGH QUAL","071","ST. JOE","024","TAM KJ-Q14","1567","1","""",4.37,0.86,1.34,86.1,5.5,38.3,7.2,72.35,6.6,NA,NA
"80-050","18","HIGH QUAL","071","ST. JOE","024","TAM KJ-Q14","1567","2","""",4.47,0.86,1.34,86.8,5.4,37.5,7.4,70.25,6.05,NA,NA
"80-053","18","HIGH QUAL","071","ST. JOE","024","PHY 440W3FE","1568","1","""",4.66,0.87,1.22,83.8,7.9,32.7,7.2,72.95,6.25,NA,NA
"80-054","18","HIGH QUAL","071","ST. JOE","024","PHY 440W3FE","1568","2","""",4.7,0.87,1.2,83,8.7,32.95,7.3,73.75,6.8,NA,NA
"80-055","18","HIGH QUAL","071","ST. JOE","024","PHY 480W3FE","1569","1","""",4.82,0.86,1.18,86.1,6.7,30.5,8,73.1,6.3,NA,NA
"80-056","18","HIGH QUAL","071","ST. JOE","024","PHY 480W3FE","1569","2","""",4.6,0.86,1.19,85.8,6.8,31.15,8.1,73.3,6.35,NA,NA
"80-057","18","HIGH QUAL","071","ST. JOE","024","DC 180","1570","1","""",4.88,0.87,1.17,85.8,6.6,33.75,7.3,71.8,5.35,NA,NA
"80-058","18","HIGH QUAL","071","ST. JOE","024","DC 180","1570","2","""",4.97,0.87,1.15,85.8,7.1,34.45,7.3,73,6.65,NA,NA
"80-059","18","HIGH QUAL","071","ST. JOE","024","DC 375","1571","1","""",5.41,0.88,1.11,84.5,7.5,30.3,7.3,70.3,6.55,NA,NA
"80-060","18","HIGH QUAL","071","ST. JOE","024","DC 375","1571","2","""",5.09,0.87,1.11,84.4,6.9,30.85,7.4,73.65,7.15,NA,NA
"80-061","18","HIGH QUAL","071","ST. JOE","024","LA 14063001","1572","1","""",4.47,0.86,1.25,86,6.8,32.2,7.8,72.65,5.8,NA,NA
"80-062","18","HIGH QUAL","071","ST. JOE","024","LA 14063001","1572","2","""",4.64,0.86,1.26,86,7,32.45,7.6,74.35,5.6,NA,NA
"80-063","18","HIGH QUAL","071","ST. JOE","024","LA 14603038","1573","1","""",4.91,0.87,1.25,83.7,7.8,34.65,7.1,71.15,5.2,NA,NA
"80-064","18","HIGH QUAL","071","ST. JOE","024","LA 14603038","1573","2","""",4.77,0.87,1.25,84,7.1,34.25,7.3,72.1,5.75,NA,NA
"85-031","18","HIGH QUAL","071","ST'VILLE","025","PHY 444WRF","1459","1","""",4.07,0.85,1.29,87.3,5.9,31.85,7.6,75.25,6.6,"6.6487575554063136",66.6788433456645
"85-032","18","HIGH QUAL","071","ST'VILLE","025","PHY 444WRF","1459","2","""",4.09,0.85,1.25,85,7.1,32.7,7.4,76.1,7.25,"7.7712363330529932",67.6433618461647
"85-005","18","HIGH QUAL","071","ST'VILLE","025","FM 1830GLT","1503","1","REGL STD",5.04,0.88,1.21,85.5,7.4,32.9,7,71.65,5.95,"10.055304172951232",76.6758209704088
"85-006","18","HIGH QUAL","071","ST'VILLE","025","FM 1830GLT","1503","2","""",5.03,0.88,1.24,85.7,6.8,35.4,6.8,75.8,7.35,"7.4280879864636216",82.1966893376841
"85-001","18","HIGH QUAL","071","ST'VILLE","025","DP 1646B2XF*","1516","1","NATL STD",4.69,0.86,1.24,85.9,7,31.5,8.2,76.2,6.4,"8.564737370357987",69.9426656781232
"85-002","18","HIGH QUAL","071","ST'VILLE","025","DP 1646B2XF*","1516","2","""",4.45,0.85,1.25,86,6.8,29.3,8.7,75.8,5.6,"8.0936454849498265",73.6423437372565
"85-003","18","HIGH QUAL","071","ST'VILLE","025","PHY 764WRF*","1536","1","""",4.2,0.85,1.21,85.8,6.9,36.95,7.7,70.1,7.15,"9.3802345058626493",82.3508587251226
"85-004","18","HIGH QUAL","071","ST'VILLE","025","PHY 764WRF*","1536","2","""",4.27,0.86,1.22,86.6,6.5,37.9,7.6,73.55,7.2,"7.9256032171581712",75.5780524410668
"85-007","18","HIGH QUAL","071","ST'VILLE","025","FM 2574GLT","1556","1","""",4.85,0.88,1.24,86.3,7.2,35.5,6.8,74.45,5.7,"6.7393126571668001",90.4283372038039
"85-008","18","HIGH QUAL","071","ST'VILLE","025","FM 2574GLT","1556","2","""",5.17,0.88,1.25,86.2,7.1,33.05,7,74.6,6.2,"6.9986541049798063",62.8813356971416
"85-009","18","HIGH QUAL","071","ST'VILLE","025","ST 5020GLT","1557","1","""",4.37,0.85,1.24,84.6,7.3,33.7,7.8,75.5,6.9,"7.7026121902210338",74.0748233367451
"85-010","18","HIGH QUAL","071","ST'VILLE","025","ST 5020GLT","1557","2","""",4.57,0.86,1.22,84.9,8,33.95,8,74.55,6.8,"12.182486631016053",79.2104830246631
"85-011","18","HIGH QUAL","071","ST'VILLE","025","DP 1845B3XF","1558","1","""",4.42,0.85,1.26,84.1,7.6,32.7,8.3,75.7,6.45,"9.1231028667790834",81.2473735030884
"85-012","18","HIGH QUAL","071","ST'VILLE","025","DP 1845B3XF","1558","2","""",4.53,0.86,1.28,84.2,6.7,33.05,8.3,76.6,6.6,"8.8762351364930563",82.7527076459186
"85-013","18","HIGH QUAL","071","ST'VILLE","025","DP 1820B3XF","1559","1","""",4.74,0.87,1.26,84,8,32.2,7,73.55,6.5,"6.3316582914572885",54.7117036029912
"85-014","18","HIGH QUAL","071","ST'VILLE","025","DP 1820B3XF","1559","2","""",4.51,0.87,1.24,85.3,7.6,32.75,6.9,73.95,6.4,"6.2972292191435768",77.3286782675664
"85-015","18","HIGH QUAL","071","ST'VILLE","025","ARK 1019-14","1560","1","""",4.24,0.85,1.24,83.7,8.1,33.65,7.7,73.45,6.5,"8.5170340681362742",66.5586168161685
"85-016","18","HIGH QUAL","071","ST'VILLE","025","ARK 1019-14","1560","2","""",4.05,0.85,1.3,85.2,6,35.6,7.6,74.2,5.75,"7.1129707112970717",64.7120567459297
"85-017","18","HIGH QUAL","071","ST'VILLE","025","ARK 1002-40","1561","1","""",4.41,0.86,1.31,86.3,5.7,32.45,7.6,73.85,6.45,"7.6200067136623018",80.957457180596
"85-018","18","HIGH QUAL","071","ST'VILLE","025","ARK 1002-40","1561","2","""",4.53,0.87,1.27,87.2,6.5,35.6,7.2,73.3,6.2,"9.2237903225806477",79.9979771792539
"85-019","18","HIGH QUAL","071","ST'VILLE","025","ARK 1019-36","1562","1","""",4.51,0.86,1.28,87.1,6.4,32.15,7.9,73.45,5.95,"8.0836820083681982",83.2430440366303
"85-020","18","HIGH QUAL","071","ST'VILLE","025","ARK 1019-36","1562","2","""",4.42,0.86,1.32,88.3,5.4,33.85,7.7,73.2,5.75,"8.4116856950973879",65.1540795303353
"85-021","18","HIGH QUAL","071","ST'VILLE","025","NM 13P1125","1563","1","""",4.47,0.86,1.2,85.6,6.7,37.65,7.7,72.25,6.8,"8.5896789376365756",72.9447390511601
"85-022","18","HIGH QUAL","071","ST'VILLE","025","NM 13P1125","1563","2","""",4.51,0.86,1.22,86.4,6.5,35.3,7.6,69.9,5.75,"8.5541764508554081",67.7837842229405
"85-023","18","HIGH QUAL","071","ST'VILLE","025","NM 16W1079","1564","1","""",4.64,0.86,1.17,84.8,6.8,34.3,7.7,73.1,6.65,"8.553184338766588",66.9283727334235
"85-024","18","HIGH QUAL","071","ST'VILLE","025","NM 16W1079","1564","2","""",4.95,0.87,1.18,85.5,6.7,35.05,7.6,71.4,5.9,"7.2818791946308776",65.870691187903
"85-025","18","HIGH QUAL","071","ST'VILLE","025","NM 16W1094","1565","1","""",4.74,0.86,1.19,85.5,6.5,33.75,7.7,72.4,6.8,"7.9191238416175276",76.7937699618144
"85-026","18","HIGH QUAL","071","ST'VILLE","025","NM 16W1094","1565","2","""",4.74,0.86,1.21,85.9,6.2,35.35,7.8,71.85,6.3,"8.6409395973154339",88.6415717424532
"85-027","18","HIGH QUAL","071","ST'VILLE","025","TAM 13Q-18","1566","1","""",4.79,0.86,1.27,86.2,6.6,32.4,8,75.95,7.2,"7.7567431730608067",93.2060248852973
"85-028","18","HIGH QUAL","071","ST'VILLE","025","TAM 13Q-18","1566","2","""",4.82,0.86,1.23,86.1,6.6,33.15,8,75.3,7.2,"7.1966527196652672",72.8548762909331
"85-029","18","HIGH QUAL","071","ST'VILLE","025","TAM KJ-Q14","1567","1","""",4.14,0.86,1.3,86.3,6,43.15,7.3,72.85,7.75,"8.1121934833725184",88.4889143784323
"85-030","18","HIGH QUAL","071","ST'VILLE","025","TAM KJ-Q14","1567","2","""",4.4,0.86,1.34,87.2,5.2,41.25,7.2,73.9,7.4,"6.6857046867125884",88.0718086138203
"85-033","18","HIGH QUAL","071","ST'VILLE","025","PHY 440W3FE","1568","1","""",4.28,0.86,1.2,84.1,8,34.3,7.3,74.75,7,"6.0184409052807988",68.7241773007939
"85-034","18","HIGH QUAL","071","ST'VILLE","025","PHY 440W3FE","1568","2","""",4.19,0.86,1.24,86.1,7.3,35.3,7.2,75.45,7.05,"6.0713084426505199",83.4221881392071
"85-035","18","HIGH QUAL","071","ST'VILLE","025","PHY 480W3FE","1569","1","""",4.32,0.85,1.19,86.6,6.5,31.85,8.6,73.1,6.6,"7.7839288709948011",77.4312568130935
"85-036","18","HIGH QUAL","071","ST'VILLE","025","PHY 480W3FE","1569","2","""",4.44,0.85,1.22,86.6,6.6,31.15,8.2,73.8,6.5,"6.5906422941472407",70.6094349825624
"85-037","18","HIGH QUAL","071","ST'VILLE","025","DC 180","1570","1","""",4.89,0.87,1.15,85.9,6.8,31.65,8,75.7,7.15,"5.6085719069144391",66.4614133371607
"85-038","18","HIGH QUAL","071","ST'VILLE","025","DC 180","1570","2","""",4.69,0.86,1.17,87.1,6.6,34.95,8.1,76.1,7.15,"6.4727639542703344",78.6672093770783
"85-039","18","HIGH QUAL","071","ST'VILLE","025","DC 375","1571","1","""",5.14,0.88,1.13,85.5,6.8,32.25,7.2,70.45,6.75,".",70.3964366482832
"85-040","18","HIGH QUAL","071","ST'VILLE","025","DC 375","1571","2","""",5.12,0.88,1.07,85,7,31.85,7.5,73.85,7.65,"6.4683269262911542",65.3181458285553
"85-041","18","HIGH QUAL","071","ST'VILLE","025","LA 14063001","1572","1","""",4.58,0.86,1.22,85,7.2,32.55,7.6,74.85,6.65,"7.1905238571905157",71.5811517290849
"85-042","18","HIGH QUAL","071","ST'VILLE","025","LA 14063001","1572","2","""",4.87,0.86,1.17,82.9,9,30.1,7.9,75.9,7.4,"7.404914170313023",74.1804923276188
"85-043","18","HIGH QUAL","071","ST'VILLE","025","LA 14603038","1573","1","""",4.59,0.86,1.19,82,10.3,33.45,7.2,75.5,7.05,"6.449445750755789",77.9947316937664
"85-044","18","HIGH QUAL","071","ST'VILLE","025","LA 14603038","1573","2","""",4.44,0.86,1.26,84.4,7.4,36.5,6.9,73.35,6.6,"7.030854830551343",62.6585256213217
"69-051","18","HIGH QUAL","071","JACKSON","030","PHY 444WRF","1459","1","""",4.37,0.86,1.26,86.1,6,33.25,7.9,71.7,8.65,"3.407183618663983",79.3511535931652
"69-052","18","HIGH QUAL","071","JACKSON","030","PHY 444WRF","1459","2","""",4.37,0.85,1.26,87.1,6.2,30.55,8.1,75.1,8.4,"2.6737967914438525",80.4854817527945
"69-025","18","HIGH QUAL","071","JACKSON","030","FM 1830GLT","1503","1","REGL STD",4.77,0.87,1.2,84.4,7,35.65,7.5,74.55,7,"3.9136979427997929",82.1634634282836
"69-026","18","HIGH QUAL","071","JACKSON","030","FM 1830GLT","1503","2","""",4.18,0.85,1.25,85.6,6.1,33.3,7.5,76.45,7.4,"2.5585284280936356",68.7053761494779
"69-021","18","HIGH QUAL","071","JACKSON","030","DP 1646B2XF*","1516","1","NATL STD",4.68,0.86,1.25,85.2,6.5,28.15,8.6,75.2,7.65,"2.6706726756801777",65.6507662457075
"69-022","18","HIGH QUAL","071","JACKSON","030","DP 1646B2XF*","1516","2","""",4.44,0.85,1.25,85.8,6,29.9,9.1,75.2,7.7,"4.8571428571428577",73.2994074735639
"69-023","18","HIGH QUAL","071","JACKSON","030","PHY 764WRF*","1536","1","""",3.93,0.84,1.23,86.3,6.4,36.8,8.2,76.25,8.2,"4.0243490023672681",72.182320930585
"69-024","18","HIGH QUAL","071","JACKSON","030","PHY 764WRF*","1536","2","""",4.52,0.86,1.2,86,6.5,35.25,8,71.7,8.8,"2.9109877166414213",80.0394805690493
"69-027","18","HIGH QUAL","071","JACKSON","030","FM 2574GLT","1556","1","""",4.55,0.86,1.25,84.9,6.4,32.9,7.7,75.7,6.95,"2.2590361445783156",76.815
"69-028","18","HIGH QUAL","071","JACKSON","030","FM 2574GLT","1556","2","""",4.77,0.87,1.2,85.5,6.8,33.05,7.6,75.85,6.95,"2.8609670403212331",70.6688785746882
"69-029","18","HIGH QUAL","071","JACKSON","030","ST 5020GLT","1557","1","""",4.86,0.86,1.2,84.5,7,31.55,8.3,73.5,8.4,"2.7436458508668502",67.9350271321488
"69-030","18","HIGH QUAL","071","JACKSON","030","ST 5020GLT","1557","2","""",4.86,0.86,1.22,86.9,6.9,32.65,8.6,73.6,8,"2.8778189161898364",71.5456781872282
"69-031","18","HIGH QUAL","071","JACKSON","030","DP 1845B3XF","1558","1","""",4.41,0.84,1.33,86.9,5.1,28.85,9.9,75,7.6,"3.0016863406407994",90.2127344284353
"69-032","18","HIGH QUAL","071","JACKSON","030","DP 1845B3XF","1558","2","""",4.37,0.84,1.25,84.3,6.6,31.8,9.5,77.45,7.15,"3.871940998994293",75.5209973863637
"69-033","18","HIGH QUAL","071","JACKSON","030","DP 1820B3XF","1559","1","""",4.7,0.87,1.18,83.1,7.9,31.95,7.4,73.75,7.4,"2.8470350404312632",74.8720915880275
"69-034","18","HIGH QUAL","071","JACKSON","030","DP 1820B3XF","1559","2","""",4.49,0.86,1.29,85.7,5.7,33.6,7.5,72.45,7.3,"3.8628762541805943",65.9012137774264
"69-035","18","HIGH QUAL","071","JACKSON","030","ARK 1019-14","1560","1","""",4.29,0.85,1.3,85.4,5.6,30.25,8.6,72.95,6.8,"3.8615847542627924",87.3149881948678
"69-036","18","HIGH QUAL","071","JACKSON","030","ARK 1019-14","1560","2","""",4.15,0.85,1.31,85.9,5.4,30.5,8.2,71.95,6.75,"4.5378712045378693",72.2783792406201
"69-037","18","HIGH QUAL","071","JACKSON","030","ARK 1002-40","1561","1","""",4.53,0.86,1.31,87.4,5.1,31.7,8.1,71.25,6.9,"4.0843655841982001",70.0193806993007
"69-038","18","HIGH QUAL","071","JACKSON","030","ARK 1002-40","1561","2","""",4.47,0.86,1.25,87.7,5.7,35.25,8,72,7.5,"2.9029029029028943",78.6096716401394
"69-039","18","HIGH QUAL","071","JACKSON","030","ARK 1019-36","1562","1","""",4.49,0.85,1.34,88,5,31.5,8.8,71.45,6.9,"4.8972087581480856",79.804918803338
"69-040","18","HIGH QUAL","071","JACKSON","030","ARK 1019-36","1562","2","""",4.65,0.86,1.3,86.2,5.5,32.1,8.6,74.65,7.45,"4.5909849749582641",76.9079198905609
"69-041","18","HIGH QUAL","071","JACKSON","030","NM 13P1125","1563","1","""",4.6,0.85,1.17,84,7,30.95,8.7,74.2,7.9,"2.739268414898949",69.7720222666851
"69-042","18","HIGH QUAL","071","JACKSON","030","NM 13P1125","1563","2","""",4.2,0.84,1.24,86.1,5.9,32.4,8.9,75,7.5,"3.2770270270270352",82.6928033704811
"69-043","18","HIGH QUAL","071","JACKSON","030","NM 16W1079","1564","1","""",4.68,0.86,1.19,84.8,6.5,32.1,8.3,73.6,8,"6.0773480662983355",88.2278108183804
"69-044","18","HIGH QUAL","071","JACKSON","030","NM 16W1079","1564","2","""",4.53,0.85,1.23,85.2,6,32.4,8.5,73.45,7.7,"3.3372661385471041",81.725684354621
"69-045","18","HIGH QUAL","071","JACKSON","030","NM 16W1094","1565","1","""",4.57,0.85,1.19,85,6.8,32.25,8.9,71.4,7.75,"4.3132611637347722",70.4028745613625
"69-046","18","HIGH QUAL","071","JACKSON","030","NM 16W1094","1565","2","""",3.65,0.83,1.19,84.6,6.5,33.8,9.1,73.6,7.7,"7.3732718894009217",106.290327516876
"69-047","18","HIGH QUAL","071","JACKSON","030","TAM 13Q-18","1566","1","""",4.18,0.84,1.31,88.4,5.1,33.1,8.6,73.85,7.7,"4.0348233718399404",100.868095809655
"69-048","18","HIGH QUAL","071","JACKSON","030","TAM 13Q-18","1566","2","""",4.05,0.84,1.28,87.8,5.4,32.1,8.5,72,7.55,"5.4785368297978856",69.6055414689975
"69-049","18","HIGH QUAL","071","JACKSON","030","TAM KJ-Q14","1567","1","""",4.17,0.85,1.38,88.4,5,37.6,7.9,73.5,8.05,"4.9890811355618991",78.0357013746429
"69-050","18","HIGH QUAL","071","JACKSON","030","TAM KJ-Q14","1567","2","""",4.21,0.85,1.38,87.4,5,37.7,7.6,73.85,7.35,"2.4878944732008712",78.2519033473489
"69-053","18","HIGH QUAL","071","JACKSON","030","PHY 440W3FE","1568","1","""",4.39,0.85,1.2,83,8.2,31.35,7.7,70.45,9.35,"3.6026936026936038",61.5789318916378
"69-054","18","HIGH QUAL","071","JACKSON","030","PHY 440W3FE","1568","2","""",4.41,0.86,1.23,85.8,6.7,33.35,7.6,73.25,8.2,"0.10323468685477491",78.9806484075746
"69-055","18","HIGH QUAL","071","JACKSON","030","PHY 480W3FE","1569","1","""",4.74,0.85,1.16,87.6,5.9,30.1,9.6,72.6,8.95,"3.2377740303541227",61.5337785000822
"69-056","18","HIGH QUAL","071","JACKSON","030","PHY 480W3FE","1569","2","""",4.35,0.84,1.17,86.9,6.5,30.2,9.2,72.15,8.4,"3.7642650315108175",69.1568721132645
"69-057","18","HIGH QUAL","071","JACKSON","030","DC 180","1570","1","""",4.06,0.84,1.17,85.4,6.7,31.4,8.6,72.7,7.8,"4.2484766418415676",61.793043185882
"69-058","18","HIGH QUAL","071","JACKSON","030","DC 180","1570","2","""",4.15,0.85,1.2,87.7,5.8,34.65,8.3,72.3,8.25,"3.8201487491548316",70.0536209118033
"69-059","18","HIGH QUAL","071","JACKSON","030","DC 375","1571","1","""",4.31,0.85,1.15,85.9,5.9,31.1,8.1,70.2,8.05,"4.3530011902737673",85.1281803797468
"69-060","18","HIGH QUAL","071","JACKSON","030","DC 375","1571","2","""",4.18,0.85,1.09,82.6,7.8,29.75,8.2,71.05,7.95,"5.467431657104278",85.0894216930427
"69-061","18","HIGH QUAL","071","JACKSON","030","LA 14063001","1572","1","""",4.53,0.86,1.2,85.6,6.6,31.35,8.4,73.45,8.3,"3.9294710327455857",63.9296987703735
"69-062","18","HIGH QUAL","071","JACKSON","030","LA 14063001","1572","2","""",4.26,0.85,1.23,85.1,6.5,28.65,8.5,71.95,7.75,"4.671801741460146",63.328149201902
"69-063","18","HIGH QUAL","071","JACKSON","030","LA 14603038","1573","1","""",4.33,0.85,1.24,84.3,7.2,30.65,8,71.15,8.35,"3.1490787269681784",62.4952197398144
"69-064","18","HIGH QUAL","071","JACKSON","030","LA 14603038","1573","2","""",4.33,0.86,1.28,86.5,5.7,35.9,7.8,74.75,7.8,"3.0859049207673084",80.4596889539191
