"breeder","yr","regcode","reg","loc","loccode","name","vcode","rep","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","yt","card_loss"
"12-015",17,"020","EAST","STARKVILLE","067","PHY 444WRF","1459","1",3.44,0.84,1.31,85.7,5.6,32.45,6.7,78.35,6.7,NA,NA
"12-016",17,"020","EAST","STARKVILLE","067","PHY 444WRF","1459","2",3.73,0.85,1.32,87.5,5.4,31.9,6.9,79.3,6.6,NA,NA
"12-019",17,"020","EAST","STARKVILLE","067","ST 4946GLB2","1468","1",3.93,0.84,1.21,83.6,6.8,31.65,8.3,75.75,7.1,NA,NA
"12-020",17,"020","EAST","STARKVILLE","067","ST 4946GLB2","1468","2",3.95,0.85,1.19,85.6,7,29.6,7.4,76.45,6.95,NA,NA
"12-013",17,"020","EAST","STARKVILLE","067","DP 1553B2XF","1507","1",4.32,0.85,1.2,85.3,6.9,30.1,8.6,72.95,5.55,NA,NA
"12-014",17,"020","EAST","STARKVILLE","067","DP 1553B2XF","1507","2",4.39,0.86,1.27,86.9,6.2,30.15,7.7,78,6.5,NA,NA
"12-009",17,"020","EAST","STARKVILLE","067","DP 1538B2XF","1510","1",4.21,0.85,1.14,83.3,9,27.9,7.7,79.05,7.05,NA,NA
"12-010",17,"020","EAST","STARKVILLE","067","DP 1538B2XF","1510","2",4.32,0.85,1.16,84.1,7.4,29.15,8.1,77.3,6.5,NA,NA
"12-003",17,"020","EAST","STARKVILLE","067","DP 1646B2XF*","1516","1",4.53,0.86,1.31,84.7,5.8,29.3,8,77.2,5.1,NA,NA
"12-004",17,"020","EAST","STARKVILLE","067","DP 1646B2XF*","1516","2",4.38,0.86,1.31,84.6,5.9,27.8,7.6,79.3,5.65,NA,NA
"12-005",17,"020","EAST","STARKVILLE","067","NG 4545B2XF*","1535","1",4.13,0.86,1.2,85.4,7,32.75,6.9,78.25,6.45,NA,NA
"12-006",17,"020","EAST","STARKVILLE","067","NG 4545B2XF*","1535","2",4.26,0.86,1.14,83.4,8.6,30.35,6.6,76.7,7.05,NA,NA
"12-007",17,"020","EAST","STARKVILLE","067","PHY 764WRF*","1536","1",3.89,0.84,1.22,85.9,5.9,37.05,7.9,76.95,7.25,NA,NA
"12-008",17,"020","EAST","STARKVILLE","067","PHY 764WRF*","1536","2",3.98,0.84,1.19,85.4,6.4,34.65,8.4,76.7,6.95,NA,NA
"12-011",17,"020","EAST","STARKVILLE","067","DP 1522B2XF","1537","1",4.42,0.85,1.2,84.9,7,30.9,8.6,74.9,6.05,NA,NA
"12-012",17,"020","EAST","STARKVILLE","067","DP 1522B2XF","1537","2",4.33,0.85,1.21,85.6,7.4,29.65,8.5,72.6,5.65,NA,NA
"12-017",17,"020","EAST","STARKVILLE","067","PHY 330W3FE","1542","1",4.1,0.85,1.22,86.8,6.9,31.75,7.3,78.65,6.45,NA,NA
"12-018",17,"020","EAST","STARKVILLE","067","PHY 330W3FE","1542","2",3.79,0.84,1.2,84.7,7.5,30.7,7.3,75.35,7.1,NA,NA
"87-001",17,"020","EAST","BELLA MINA","087","PHY 499WRF*","1404","1",5.16874298954421,0.85929238068279,1.23053906492356,87.7296183244133,6.33104234472668,32.744491345359,9.83244039043935,75.2063458524253,10.1957027123717,NA,NA
"87-002",17,"020","EAST","BELLA MINA","087","PHY 499WRF*","1404","2",5.24201291402146,0.863759923124372,1.21801451397133,87.583196747632,6.46989610223044,33.4140894442422,9.484297758641,76.6564227686204,9.93876129787607,NA,NA
"87-015",17,"020","EAST","BELLA MINA","087","PHY 444WRF","1459","1",4.50638990513661,0.855745776974878,1.33941272710419,89.7995707021021,5.10207878891159,31.3968862183963,7.95609443010785,77.9799646632765,9.61085626130637,NA,NA
"87-016",17,"020","EAST","BELLA MINA","087","PHY 444WRF","1459","2",4.30286319333785,0.847898420514035,1.33522866576957,89.1109413355471,5.16039962477607,33.7360894665204,8.51987201915651,78.4332269620368,10.1409233352967,NA,NA
"87-019",17,"020","EAST","BELLA MINA","087","ST 4946GLB2","1468","1",4.94381788506652,0.858369017816293,1.27428655667652,87.9111951133683,5.91236109635268,31.7152527278998,9.12017700758386,77.560874035653,9.66198274244955,NA,NA
"87-020",17,"020","EAST","BELLA MINA","087","ST 4946GLB2","1468","2",5.04829388209235,0.862590964508637,1.2880639548309,88.7176981251329,5.52109191990027,33.2411456214561,8.96788138958582,77.2576189826857,10.042921911243,NA,NA
"87-013",17,"020","EAST","BELLA MINA","087","DP 1553B2XF","1507","1",4.78167534948116,0.85079192123689,1.26269779962184,87.1283887876618,6.33723821235972,30.4027754582669,9.56808658487712,77.383462894062,9.67191211883637,NA,NA
"87-014",17,"020","EAST","BELLA MINA","087","DP 1553B2XF","1507","2",4.78019126936064,0.847351490473207,1.289465203207,88.2897700799876,5.81782165477288,29.0152658053558,9.97468908253532,76.6564227686204,9.94007015532124,NA,NA
