"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
89,20,"EAS",33,"Auburn, AL",748,1,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",33,"Auburn, AL",748,2,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",33,"Auburn, AL",750,1,"116",1.09,0.55,50.2,"206",9,4.5,6.8,82.6,27.9,70.8,8.3,4.6
89,20,"EAS",33,"Auburn, AL",750,2,"114",1.13,0.57,50.7,"207",8,5.1,6.8,82.2,26.6,71.4,8.8,5.1
89,20,"EAS",35,"Tifton, GA",450,1,"109",1.11,0.56,50.7,"176",7.3,4.4,6.2,85.6,23.8,80,9.1,4.5
89,20,"EAS",35,"Tifton, GA",450,2,"109",1.13,0.59,52.5,"194",6.5,4.4,6.2,85.3,23.7,80.1,8.7,4.6
89,20,"EAS",35,"Tifton, GA",473,1,"101",1.12,0.56,49.8,"170",9.8,4.1,6.9,84.4,22.3,82.8,8.8,3.9
89,20,"EAS",35,"Tifton, GA",473,2,"101",1.11,0.54,48.9,"167",8.8,4.8,6.6,85.9,21,81.9,9.3,4.8
89,20,"EAS",35,"Tifton, GA",477,1,"122",1.12,0.57,50.7,"221",6,4,5.5,85.1,26.9,80.3,8.4,4
89,20,"EAS",35,"Tifton, GA",477,2,"130",1.07,0.52,48.8,"210",5.8,4.2,6,84.6,25.8,79.9,8.7,4.3
89,20,"EAS",35,"Tifton, GA",513,1,"107",1.12,0.57,51.2,"179",7.5,4.5,6.1,81.8,24.8,78.9,9.2,4.6
89,20,"EAS",35,"Tifton, GA",513,2,"110",1.08,0.56,51.4,"174",7,4.7,6.4,83.9,21.4,79.5,9.1,4.9
89,20,"EAS",35,"Tifton, GA",521,1,"104",1.15,0.59,51.6,"180",8.5,4.3,6.4,85.6,23.4,81.8,9,4.3
89,20,"EAS",35,"Tifton, GA",521,2,"106",1.1,0.54,48.9,"185",8.5,4.6,6.2,86.9,23.4,80.2,8.4,4.4
89,20,"EAS",35,"Tifton, GA",570,1,"114",1.12,0.56,49.6,"190",6.5,4.8,5.9,85.6,21,77.5,9.5,4.8
89,20,"EAS",35,"Tifton, GA",570,2,"112",1.13,0.55,48.5,"179",6.5,4.5,6.1,87.1,24.8,79.8,9.2,4.3
89,20,"EAS",35,"Tifton, GA",574,1,"108",1.12,0.55,48.7,"182",7,4.4,6.1,84.4,24.9,80.7,9.6,4.5
89,20,"EAS",35,"Tifton, GA",574,2,"104",1.11,0.57,51.6,"186",7.3,4.2,6.2,85.2,22.8,81.5,9.2,4.2
89,20,"EAS",35,"Tifton, GA",575,1,"110",1.11,0.55,49.3,"180",7,5,6.3,85.4,20.4,81.1,9.1,5.1
89,20,"EAS",35,"Tifton, GA",575,2,"111",1.11,0.56,50.5,"191",6.3,5.1,5.9,86.2,20.8,79.4,8.9,5.2
