"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
82,12,"PLA",16,"Altus, OK(irri)",152,2,"157",1.09,0.54,48,"208",7.2,4.5,1.13,84,25,71.5,8.6,4.9
82,12,"PLA",16,"Altus, OK(irri)",571,1,"140",1.06,0.51,46,"192",7.6,4.5,1.13,84,24,73,8.2,4.8
82,12,"PLA",16,"Altus, OK(irri)",571,2,"139",1.06,0.53,49,"195",7.4,4.8,1.07,85,23,70,8,4.9
82,12,"PLA",16,"Altus, OK(irri)",572,1,"139",1.09,0.54,48,"193",8,4.3,1.17,85,21,77,8.8,4.6
82,12,"PLA",16,"Altus, OK(irri)",572,2,"146",1.09,0.52,47,"201",6.7,5.2,1.12,84,23,72.5,7.6,5.3
82,12,"PLA",16,"Altus, OK(irri)",573,1,"145",1.09,0.53,47,"180",7.3,4.2,1.03,84,23,76,8.4,4.3
82,12,"PLA",16,"Altus, OK(irri)",573,2,"144",1.09,0.51,46,"196",7.8,3.8,1.13,83,28,75,8.2,4.4
82,20,"EAS",30,"Jackson, TN",498,1,"166",1.19,0.61,50,"230",5.7,4.4,1.23,87,29,76.5,8.8,4.3
82,20,"EAS",30,"Jackson, TN",498,2,"183",1.18,0.62,51,"235",5.6,4.1,1.24,87,31,76.5,8.8,4.3
82,20,"EAS",30,"Jackson, TN",532,1,"157",1.15,0.59,50,"194",6,3.7,1.18,84,27,69,8.6,3.7
82,20,"EAS",30,"Jackson, TN",532,2,"144",1.13,0.55,48,"189",5.7,4.2,1.16,83,27,78,8,4.3
82,20,"EAS",30,"Jackson, TN",574,1,"159",1.19,0.63,51,"207",5.6,4.7,1.2,85,27,78.5,9.2,4.8
82,20,"EAS",30,"Jackson, TN",574,2,"156",1.2,0.61,50,"199",5.9,4.7,1.21,84,26,76,9,4.7
82,20,"EAS",30,"Jackson, TN",80,1,"138",1.17,0.58,48,"190",6.4,5,1.22,84,25,78.5,9,4.9
82,20,"EAS",30,"Jackson, TN",80,2,"133",1.17,0.6,50,"188",6.6,4.9,1.21,84,26,75,9,4.9
82,20,"EAS",30,"Jackson, TN",468,1,"146",1.16,0.57,48,"188",5.7,4.9,1.17,85,26,75.5,8.8,4.9
82,20,"EAS",30,"Jackson, TN",468,2,"146",1.13,0.58,50,"195",4.9,4.9,1.19,84,29,77.5,8.8,4.9
82,20,"EAS",30,"Jackson, TN",570,1,"154",1.2,0.61,49,"207",4.9,4.7,1.23,85,27,73.5,9,4.8
82,20,"EAS",30,"Jackson, TN",570,2,"145",1.19,0.55,45,"206",5.5,4.4,1.24,83,28,77,9.2,4.5
82,20,"EAS",30,"Jackson, TN",603,1,"168",1.19,0.6,49,"220",6,4.5,1.23,84,28,74.5,9.2,4.3
82,20,"EAS",30,"Jackson, TN",603,2,"153",1.18,0.62,51,"207",5.6,4.7,1.2,84,27,76,9,4.6
82,20,"EAS",30,"Jackson, TN",475,1,"156",1.2,0.59,48,"198",6.2,4.4,1.27,85,25,77,8.4,4.4
